Date time,Local date time,Purpose,Amount (BTC),* Exchange rate,Amount (USD)
2021-03-15 00:00:00 GMT,2021-03-14 19:00:00 GMT-05:00,Hashpower mining,0.00005493,61325.54,3.37
2021-03-15 00:00:00 GMT,2021-03-14 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000110,61325.54,-0.07
2021-03-16 00:00:00 GMT,2021-03-15 19:00:00 GMT-05:00,Hashpower mining,0.00003973,60416.29,2.40
2021-03-16 00:00:00 GMT,2021-03-15 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000079,60416.29,-0.05
2021-03-17 00:00:00 GMT,2021-03-16 19:00:00 GMT-05:00,Hashpower mining,0.00006964,56420.01,3.93
2021-03-17 00:00:00 GMT,2021-03-16 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000139,56420.01,-0.08
2021-03-18 00:00:00 GMT,2021-03-17 19:00:00 GMT-05:00,Hashpower mining,0.00005687,56230.29,3.20
2021-03-18 00:00:00 GMT,2021-03-17 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000114,56230.29,-0.06
2021-03-19 00:00:00 GMT,2021-03-18 19:00:00 GMT-05:00,Hashpower mining,0.00002342,58456.46,1.37
2021-03-19 00:00:00 GMT,2021-03-18 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000047,58456.46,-0.03
2021-03-20 00:00:00 GMT,2021-03-19 19:00:00 GMT-05:00,Hashpower mining,0.00006309,57500.00,3.63
2021-03-20 00:00:00 GMT,2021-03-19 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000127,57500.00,-0.07
2021-03-21 00:00:00 GMT,2021-03-20 19:00:00 GMT-05:00,Hashpower mining,0.00006227,58101.00,3.62
2021-03-21 00:00:00 GMT,2021-03-20 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000125,58101.00,-0.07
2021-03-22 00:00:00 GMT,2021-03-21 19:00:00 GMT-05:00,Hashpower mining,0.00006438,58300.01,3.75
2021-03-22 00:00:00 GMT,2021-03-21 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000129,58300.01,-0.08
2021-03-23 00:00:00 GMT,2021-03-22 19:00:00 GMT-05:00,Hashpower mining,0.00013475,57370.43,7.73
2021-03-23 00:00:00 GMT,2021-03-22 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000269,57370.43,-0.15
2021-03-24 00:00:00 GMT,2021-03-23 19:00:00 GMT-05:00,Hashpower mining,0.00013339,54405.04,7.26
2021-03-24 00:00:00 GMT,2021-03-23 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000267,54405.04,-0.15
2021-03-25 00:00:00 GMT,2021-03-24 19:00:00 GMT-05:00,Hashpower mining,0.00002512,54622.54,1.37
2021-03-25 00:00:00 GMT,2021-03-24 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000050,54622.54,-0.03
2021-03-29 00:00:00 GMT,2021-03-28 19:00:00 GMT-05:00,Hashpower mining,0.00012004,56157.18,6.74
2021-03-29 00:00:00 GMT,2021-03-28 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000241,56157.18,-0.14
2021-03-30 00:00:00 GMT,2021-03-29 19:00:00 GMT-05:00,Hashpower mining,0.00013664,55667.71,7.61
